chart,series,period_or_condition,value,unit,type,source_or_formula
eu-china-trade,进口同比,2025,6.4,%,实际,https://ec.europa.eu/eurostat/fr/web/products-eurostat-news/w/ddn-20260410-2
eu-china-trade,出口同比,2025,-6.5,%,实际,https://ec.europa.eu/eurostat/fr/web/products-eurostat-news/w/ddn-20260410-2
debt-sensitivity,债务率变化,i=2%;g=1%,0.990099,百分点,假设计算,(i-g)/(1+g)*100;期初债务率100%;基本赤字率0
debt-sensitivity,债务率变化,i=2%;g=2%,0.0,百分点,假设计算,(i-g)/(1+g)*100;期初债务率100%;基本赤字率0
debt-sensitivity,债务率变化,i=2%;g=3%,-0.970874,百分点,假设计算,(i-g)/(1+g)*100;期初债务率100%;基本赤字率0
debt-sensitivity,债务率变化,i=2%;g=4%,-1.923077,百分点,假设计算,(i-g)/(1+g)*100;期初债务率100%;基本赤字率0
debt-sensitivity,债务率变化,i=2%;g=5%,-2.857143,百分点,假设计算,(i-g)/(1+g)*100;期初债务率100%;基本赤字率0
debt-sensitivity,债务率变化,i=2%;g=6%,-3.773585,百分点,假设计算,(i-g)/(1+g)*100;期初债务率100%;基本赤字率0
debt-sensitivity,债务率变化,i=3%;g=1%,1.980198,百分点,假设计算,(i-g)/(1+g)*100;期初债务率100%;基本赤字率0
debt-sensitivity,债务率变化,i=3%;g=2%,0.980392,百分点,假设计算,(i-g)/(1+g)*100;期初债务率100%;基本赤字率0
debt-sensitivity,债务率变化,i=3%;g=3%,0.0,百分点,假设计算,(i-g)/(1+g)*100;期初债务率100%;基本赤字率0
debt-sensitivity,债务率变化,i=3%;g=4%,-0.961538,百分点,假设计算,(i-g)/(1+g)*100;期初债务率100%;基本赤字率0
debt-sensitivity,债务率变化,i=3%;g=5%,-1.904762,百分点,假设计算,(i-g)/(1+g)*100;期初债务率100%;基本赤字率0
debt-sensitivity,债务率变化,i=3%;g=6%,-2.830189,百分点,假设计算,(i-g)/(1+g)*100;期初债务率100%;基本赤字率0
debt-sensitivity,债务率变化,i=4%;g=1%,2.970297,百分点,假设计算,(i-g)/(1+g)*100;期初债务率100%;基本赤字率0
debt-sensitivity,债务率变化,i=4%;g=2%,1.960784,百分点,假设计算,(i-g)/(1+g)*100;期初债务率100%;基本赤字率0
debt-sensitivity,债务率变化,i=4%;g=3%,0.970874,百分点,假设计算,(i-g)/(1+g)*100;期初债务率100%;基本赤字率0
debt-sensitivity,债务率变化,i=4%;g=4%,0.0,百分点,假设计算,(i-g)/(1+g)*100;期初债务率100%;基本赤字率0
debt-sensitivity,债务率变化,i=4%;g=5%,-0.952381,百分点,假设计算,(i-g)/(1+g)*100;期初债务率100%;基本赤字率0
debt-sensitivity,债务率变化,i=4%;g=6%,-1.886792,百分点,假设计算,(i-g)/(1+g)*100;期初债务率100%;基本赤字率0
debt-sensitivity,债务率变化,i=5%;g=1%,3.960396,百分点,假设计算,(i-g)/(1+g)*100;期初债务率100%;基本赤字率0
debt-sensitivity,债务率变化,i=5%;g=2%,2.941176,百分点,假设计算,(i-g)/(1+g)*100;期初债务率100%;基本赤字率0
debt-sensitivity,债务率变化,i=5%;g=3%,1.941748,百分点,假设计算,(i-g)/(1+g)*100;期初债务率100%;基本赤字率0
debt-sensitivity,债务率变化,i=5%;g=4%,0.961538,百分点,假设计算,(i-g)/(1+g)*100;期初债务率100%;基本赤字率0
debt-sensitivity,债务率变化,i=5%;g=5%,0.0,百分点,假设计算,(i-g)/(1+g)*100;期初债务率100%;基本赤字率0
debt-sensitivity,债务率变化,i=5%;g=6%,-0.943396,百分点,假设计算,(i-g)/(1+g)*100;期初债务率100%;基本赤字率0
debt-sensitivity,债务率变化,i=6%;g=1%,4.950495,百分点,假设计算,(i-g)/(1+g)*100;期初债务率100%;基本赤字率0
debt-sensitivity,债务率变化,i=6%;g=2%,3.921569,百分点,假设计算,(i-g)/(1+g)*100;期初债务率100%;基本赤字率0
debt-sensitivity,债务率变化,i=6%;g=3%,2.912621,百分点,假设计算,(i-g)/(1+g)*100;期初债务率100%;基本赤字率0
debt-sensitivity,债务率变化,i=6%;g=4%,1.923077,百分点,假设计算,(i-g)/(1+g)*100;期初债务率100%;基本赤字率0
debt-sensitivity,债务率变化,i=6%;g=5%,0.952381,百分点,假设计算,(i-g)/(1+g)*100;期初债务率100%;基本赤字率0
debt-sensitivity,债务率变化,i=6%;g=6%,0.0,百分点,假设计算,(i-g)/(1+g)*100;期初债务率100%;基本赤字率0
debt-sensitivity,债务率变化,i=7%;g=1%,5.940594,百分点,假设计算,(i-g)/(1+g)*100;期初债务率100%;基本赤字率0
debt-sensitivity,债务率变化,i=7%;g=2%,4.901961,百分点,假设计算,(i-g)/(1+g)*100;期初债务率100%;基本赤字率0
debt-sensitivity,债务率变化,i=7%;g=3%,3.883495,百分点,假设计算,(i-g)/(1+g)*100;期初债务率100%;基本赤字率0
debt-sensitivity,债务率变化,i=7%;g=4%,2.884615,百分点,假设计算,(i-g)/(1+g)*100;期初债务率100%;基本赤字率0
debt-sensitivity,债务率变化,i=7%;g=5%,1.904762,百分点,假设计算,(i-g)/(1+g)*100;期初债务率100%;基本赤字率0
debt-sensitivity,债务率变化,i=7%;g=6%,0.943396,百分点,假设计算,(i-g)/(1+g)*100;期初债务率100%;基本赤字率0
cashflow-sensitivity,息税前利润,基准情形,10,百万元,假设计算,年收入100;境外收入60;变动成本70;固定经营成本20;受冲击投入基准成本10
cashflow-sensitivity,息税前利润,境外售价下降10%,4,百万元,假设计算,年收入100;境外收入60;变动成本70;固定经营成本20;受冲击投入基准成本10
cashflow-sensitivity,息税前利润,相关投入涨价20%,8,百万元,假设计算,年收入100;境外收入60;变动成本70;固定经营成本20;受冲击投入基准成本10
cashflow-sensitivity,额外营运资金,回款延长0天,0.0,百万元,假设计算,100*延长天数/365
cashflow-sensitivity,额外营运资金,回款延长15天,4.109589,百万元,假设计算,100*延长天数/365
cashflow-sensitivity,额外营运资金,回款延长30天,8.219178,百万元,假设计算,100*延长天数/365
cashflow-sensitivity,额外营运资金,回款延长45天,12.328767,百万元,假设计算,100*延长天数/365
cashflow-sensitivity,额外营运资金,回款延长60天,16.438356,百万元,假设计算,100*延长天数/365
